Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-ZOETISPV-2022-AU-00780,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000052462&_xt=AER&_xf=pdf""> AER </a>",2022-08-31 00:00:00,Veterinarian,Australia,FEMALE,Cat,Burmese,Solensia 7 mg/ml - Solution for injection,"Ocular discharge, Vomiting",1,1,
AUS-ZOETISPV-2022-AU-00782,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000052448&_xt=AER&_xf=pdf""> AER </a>",2022-08-31 00:00:00,Veterinarian,Australia,FEMALE,Cat,Maine Coon,Solensia 7 mg/ml - Solution for injection,"Arched back, Reluctant to move, Uncomfortable",1,1,
AUS-ZOETISPV-2022-AU-00787,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000052954&_xt=AER&_xf=pdf""> AER </a>",2022-09-01 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Temporary blindness,1,1,
AUS-ZOETISPV-2022-AU-00814,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000059077&_xt=AER&_xf=pdf""> AER </a>",2022-09-14 00:00:00,Veterinarian,Australia,FEMALE,Cat,Persian,Solensia 7 mg/ml - Solution for injection,Emesis (multiple),1,1,
AUS-ZOETISPV-2022-AU-00838,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000060894&_xt=AER&_xf=pdf""> AER </a>",2022-09-19 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),"Meloxicam Bioveta, 1,5mg/ml, Perorální suspenze, Meloxicam Bioveta, 5mg/ml, Injekční roztok, Solensia 7 mg/ml - Solution for injection","Death by euthanasia, Emesis (multiple)",1,1,1
AUS-ZOETISPV-2022-AU-00839,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000060799&_xt=AER&_xf=pdf""> AER </a>",2022-09-19 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),"Meloxicam Bioveta, 1,5mg/ml, Perorální suspenze, Meloxicam Bioveta, 5mg/ml, Injekční roztok, Solensia 7 mg/ml - Solution for injection","Inappetence, Urinary tract infection",1,1,
AUS-ZOETISPV-2022-AU-00870,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000061741&_xt=AER&_xf=pdf""> AER </a>",2022-09-20 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Alopecia local, Excoriation, Injection site weeping (see also Skin), Licking at injection site, Skin inflammation NOS, Skin lesion NOS",1,1,
AUS-ZOETISPV-2022-AU-00896,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000066016&_xt=AER&_xf=pdf""> AER </a>",2022-09-28 00:00:00,Other health care professional,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,1,1,
AUS-ZOETISPV-2022-AU-00904,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000069137&_xt=AER&_xf=pdf""> AER </a>",2022-10-03 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),"Anarthron 100 mg/ml Solution for Injection, Cartrophen Vet 100 mg/ml Solution for Injection., Cartrophen Vet. 100 mg/ml injektionsvæske, opløsning, Cartrophen vet, Cartrophen vet. 100 mg/ml Injektionsvätska, lösning, Cartrophen vet. 100 mg/ml injektioneste, liuos, Solensia 7 mg/ml - Solution for injection, ВИТАМИН В12 разтвор за инжекции 500 g","Anaemia NOS, Ataxia, Azotaemia, Diarrhoea, Head shake - behavioural disorder, Hind limb ataxia, Tremor of limb",1,1,
AUS-ZOETISPV-2022-AU-00907,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000069110&_xt=AER&_xf=pdf""> AER </a>",2022-10-03 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Vomiting,1,1,
AUS-ZOETISPV-2022-AU-00916,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000071277&_xt=AER&_xf=pdf""> AER </a>",2022-10-06 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Alopecia local, Dermatitis, Scratching, Skin scab",1,1,
AUS-ZOETISPV-2022-AU-00926,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000072567&_xt=AER&_xf=pdf""> AER </a>",2022-10-10 00:00:00,Veterinarian,Australia,MALE,Cat,Tonkinese,Solensia 7 mg/ml - Solution for injection,"Death by euthanasia, Elevated liver enzymes NOS, Elevated total bilirubin, General illness, High pancreatic-specific lipase, Leucocytosis NOS, Vomiting",1,1,1
AUS-ZOETISPV-2022-AU-00934,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000072637&_xt=AER&_xf=pdf""> AER </a>",2022-10-10 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Polydipsia,1,1,
AUS-ZOETISPV-2022-AU-00935,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000072639&_xt=AER&_xf=pdf""> AER </a>",2022-10-10 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Haematuria, Polydipsia, Urinary retention",1,1,
AUS-ZOETISPV-2022-AU-00937,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000072628&_xt=AER&_xf=pdf""> AER </a>",2022-10-10 00:00:00,Other health care professional,Australia,FEMALE,Cat,Burmese,Solensia 7 mg/ml - Solution for injection,"Alopecia local, Localised itching, Localised pain NOS (see other SOCs for specific pain), Pinnal reddening",1,1,
AUS-ZOETISPV-2022-AU-00943,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000085852&_xt=AER&_xf=pdf""> AER </a>",2022-11-08 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,"Alopecia local, Bacterial skin infection NOS, Dermatitis, Diarrhoea, Excoriation, Localised hair loss, Pruritus, Scratching, Skin lesion NOS, Skin scab, Vomiting",1,1,
AUS-ZOETISPV-2022-AU-00951,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000090657&_xt=AER&_xf=pdf""> AER </a>",2022-11-17 00:00:00,Veterinarian,Australia,MALE,Cat,Domestic Mediumhair,Solensia 7 mg/ml - Solution for injection,"Crust, Erythema (for urticaria see Immune SOC)",1,1,
AUS-ZOETISPV-2022-AU-00955,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000074436&_xt=AER&_xf=pdf""> AER </a>",2022-10-13 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Joint swelling,1,1,
AUS-ZOETISPV-2022-AU-00959,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000076009&_xt=AER&_xf=pdf""> AER </a>",2022-10-17 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Alopecia local, Erythema (for urticaria see Immune SOC)",1,1,
AUS-ZOETISPV-2022-AU-00968,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000075950&_xt=AER&_xf=pdf""> AER </a>",2022-10-17 00:00:00,Veterinarian,Australia,FEMALE,Cat,Ragdoll,Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,1,1,
AUS-ZOETISPV-2022-AU-00983,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000083159&_xt=AER&_xf=pdf""> AER </a>",2022-11-01 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,2,2,
AUS-ZOETISPV-2022-AU-00984,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000088477&_xt=AER&_xf=pdf""> AER </a>",2022-11-14 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),"Solensia 7 mg/ml - Solution for injection, Tramadog 50 mg tablet for dogs, Tramvetol 50 mg tablets for dogs, Tramvetol 50 mg/ml solution for injection for dogs","Partial lack of efficacy, Weight loss",1,1,
AUS-ZOETISPV-2022-AU-01012,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000087234&_xt=AER&_xf=pdf""> AER </a>",2022-11-10 00:00:00,Veterinarian,Australia,FEMALE,Cat,Burmese,Solensia 7 mg/ml - Solution for injection,Vomiting,1,1,
AUS-ZOETISPV-2022-AU-01043,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000082487&_xt=AER&_xf=pdf""> AER </a>",2022-10-31 00:00:00,Other health care professional,Australia,FEMALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Behavioural disorder NOS, Diarrhoea, Lack of efficacy - NOS, Lack of response to owner, Malaise, Urinary incontinence, Vomiting, Weight loss",1,1,
AUS-ZOETISPV-2022-AU-01056,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000080479&_xt=AER&_xf=pdf""> AER </a>",2022-10-26 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Lack of efficacy - NOS,1,1,
AUS-ZOETISPV-2022-AU-01073,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000087329&_xt=AER&_xf=pdf""> AER </a>",2022-11-10 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),"DEXAFORT, DEXAFORT (1,32+2,67)MG/ML ΕΝΕΣΙΜΟ ΕΝΑΙΩΡΗΜΑ, DEXAFORT 3 mg/ml injekčná suspenzia, Dexafort  Suspensie voor injectie, Dexafort (1,32 mg + 2,67 mg) /ml Zawiesina do wstrzykiwań, Dexafort Suspension for Injection, Dexafort suspension injectable, Dexafort suspensão injetável para bovinos, equinos e cães, Dexafort suspenzija za injiciranje za govedo, konje, pse in mačke, Dexafort szuszpenziós injekció A.U.V., Dexafort, 3 mg/ml süstesuspensioon veistele, hobustele, koertele ja kassidele, Dexafort, 3mg/ml, Injekční suspenze, Solensia 7 mg/ml - Solution for injection, Дексафорт",Death,1,1,1
AUS-ZOETISPV-2022-AU-01078,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000085255&_xt=AER&_xf=pdf""> AER </a>",2022-11-07 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Himalayan,Solensia 7 mg/ml - Solution for injection,Partial lack of efficacy,1,1,
AUS-ZOETISPV-2022-AU-01079,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000086576&_xt=AER&_xf=pdf""> AER </a>",2022-11-09 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),"Cerenia 10 mg/ml  - Solution for injection, Meloxicam Bioveta, 1,5mg/ml, Perorální suspenze, Meloxicam Bioveta, 5mg/ml, Injekční roztok, Solensia 7 mg/ml - Solution for injection","Alopecia local, Lack of hair regrowth, Pruritus",1,1,
AUS-ZOETISPV-2022-AU-01083,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000086518&_xt=AER&_xf=pdf""> AER </a>",2022-11-09 00:00:00,Veterinarian,Australia,FEMALE,Cat,Domestic Shorthair,Solensia 7 mg/ml - Solution for injection,Rash,1,1,
AUS-ZOETISPV-2022-AU-01095,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000094477&_xt=AER&_xf=pdf""> AER </a>",2022-11-23 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Hot spot (pyotraumatic dermatitis), Partial lack of efficacy",1,1,
