New Line No. ,New line no.,Current System Organ Class (SOC) Term,Current SOC Key,Current High Level Term (HLT),Current HLT Key,Current Preferred Term (PT),Current PT Key,Current Low Level Term (LLT),Current LLT Key,Current Term Type
38,400017,Application site disorders,1,Application site reactions,1,Application site mucopurulent discharge,10,Application site mucopurulent discharge,17,C
39,400018,Application site disorders,1,Application site reactions,1,Application site necrosis,11,Application site necrosis,18,C
40,400019,Application site disorders,1,Application site reactions,1,Application site oedema,12,Application site oedema,19,C
41,400020,Application site disorders,1,Application site reactions,1,Application site oedema,12,Application site swelling,20,C
43,400022,Application site disorders,1,Application site reactions,1,Application site pain,13,Application site pain,22,C
44,402408,Application site disorders,1,Application site reactions,1,Application site pain,13,Immediate pain upon application,2408,C
45,402192,Application site disorders,1,Application site reactions,1,Application site paraesthesia,948,Application site numbness,2192,C
46,402112,Application site disorders,1,Application site reactions,1,Application site paraesthesia,948,Application site paraesthesia,2112,C
48,400023,Application site disorders,1,Application site reactions,1,Application site pruritus,14,Application site itching,23,C
49,400025,Application site disorders,1,Application site reactions,1,Application site pruritus,14,Application site pruritus,25,C
50,400026,Application site disorders,1,Application site reactions,1,Application site pruritus,14,Application site scratching,26,C
51,504329,Application site disorders,1,Application site reactions,1,Application site purulent discharge,3047,Application site purulent discharge,3048,C
52,504330,Application site disorders,1,Application site reactions,1,Application site purulent discharge,3047,Application site pus,3049,C
53,402407,Application site disorders,1,Application site reactions,1,Application site pyoderma,15,Application site hot spot,2407,A
54,400027,Application site disorders,1,Application site reactions,1,Application site pyoderma,15,Application site pustule,27,C
55,400028,Application site disorders,1,Application site reactions,1,Application site pyoderma,15,Application site pyoderma,28,C
56,400024,Application site disorders,1,Application site reactions,1,Application site reaction NOS,16,Application site irritation,24,C
57,400029,Application site disorders,1,Application site reactions,1,Application site reaction NOS,16,Application site reaction NOS,29,C
58,401973,Application site disorders,1,Application site reactions,1,Application site reaction NOS,16,Licking at application site,1973,A
59,402194,Application site disorders,1,Application site reactions,1,Application site self trauma,18,Application site excoriation,2194,C
60,400031,Application site disorders,1,Application site reactions,1,Application site self trauma,18,Application site self trauma,31,C
61,400033,Application site disorders,1,Application site reactions,1,Application site serosanguinous discharge,19,Application site serosanguinous discharge,33,C
62,400032,Application site disorders,1,Application site reactions,1,Application site serosanguinous discharge,19,Application site weeping (see also Skin),32,C
63,400034,Application site disorders,1,Application site reactions,1,Application site serous discharge,20,Application site serous discharge,34,C
64,402514,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site dry skin,2514,C
65,402516,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site hyperkeratosis,2516,C
66,402195,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site papule,2195,C
67,402517,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site pigmentation disorders,2517,C
68,402200,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site skin change NOS,2200,C
69,402197,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site skin discolouration,2197,C
70,402198,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site skin scaling,2198,C
71,402199,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site skin squamosis,2199,C
72,402750,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site stickiness,2750,C
73,402515,Application site disorders,1,Application site reactions,1,Application site skin change,963,Application site thickening,2515,C
74,504327,Application site disorders,1,Application site reactions,1,Application site skin slough,3045,Application site skin slough,3046,C
75,402196,Application site disorders,1,Application site reactions,1,Application site twitching,964,Application site twitching,2196,C
76,400035,Application site disorders,1,Application site reactions,1,Application site ulcer,21,Application site ulcer,35,C
77,402671,Application site disorders,1,Application site reactions,1,Application site vasoconstriction,1107,Application site vasoconstriction,2671,C
78,400039,Application site disorders,1,Implant site reactions,2,Implant site blister,24,Implant site blister,39,A
79,400041,Application site disorders,1,Implant site reactions,2,Implant site erythema,25,Implant site erythema,41,A
80,400040,Application site disorders,1,Implant site reactions,2,Implant site erythema,25,Implant site rubra,40,A
81,402006,Application site disorders,1,Implant site reactions,2,Implant site fibrosis,919,Implant site fibrosis,2006,C
82,400042,Application site disorders,1,Implant site reactions,2,Implant site granuloma,26,Implant site granuloma,42,A
83,400047,Application site disorders,1,Implant site reactions,2,Implant site haemorrhage,28,Implant site bleeding,47,A
84,400043,Application site disorders,1,Implant site reactions,2,Implant site haemorrhage,28,Implant site bruising,43,A
85,400044,Application site disorders,1,Implant site reactions,2,Implant site haemorrhage,28,Implant site haematoma,44,A
86,400046,Application site disorders,1,Implant site reactions,2,Implant site haemorrhage,28,Implant site haemorrhage,46,A
87,400045,Application site disorders,1,Implant site reactions,2,Implant site haemorrhage,28,Implant site petechiae,45,A
88,400037,Application site disorders,1,Implant site reactions,2,Implant site hair change,23,Implant site alopecia,37,A
89,402151,Application site disorders,1,Implant site reactions,2,Implant site hair change,23,Implant site hair change,2151,C
90,400038,Application site disorders,1,Implant site reactions,2,Implant site hair change,23,Implant site hair loss,38,A
91,402152,Application site disorders,1,Implant site reactions,2,Implant site hair change,23,Implant site leukotrichia,2152,C
92,400036,Application site disorders,1,Implant site reactions,2,Implant site infection,22,Implant site abscess,36,A
93,402201,Application site disorders,1,Implant site reactions,2,Implant site infection,22,Implant site infection,2201,A
94,402007,Application site disorders,1,Implant site reactions,2,Implant site inflammation,29,Implant site dermatitis,2007,C
95,400048,Application site disorders,1,Implant site reactions,2,Implant site inflammation,29,Implant site inflammation,48,A
96,402409,Application site disorders,1,Implant site reactions,2,Implant site inflammation,29,Implant site warmth,2409,C
97,400051,Application site disorders,1,Implant site reactions,2,Implant site lesion,30,Implant site crust,51,A
98,400050,Application site disorders,1,Implant site reactions,2,Implant site lesion,30,Implant site lesion,50,A
99,400049,Application site disorders,1,Implant site reactions,2,Implant site lesion,30,Implant site scab,49,A
100,400054,Application site disorders,1,Implant site reactions,2,Implant site mass NOS,1153,Implant site lump,54,A
101,402833,Application site disorders,1,Implant site reactions,2,Implant site mass NOS,1153,Implant site mass NOS,2833,A
102,400052,Application site disorders,1,Implant site reactions,2,Implant site mucopurulent discharge,31,Implant site mucopurulent discharge,52,A
103,400053,Application site disorders,1,Implant site reactions,2,Implant site necrosis,32,Implant site necrosis,53,A
104,400055,Application site disorders,1,Implant site reactions,2,Implant site oedema,33,Implant site oedema,55,A
105,400056,Application site disorders,1,Implant site reactions,2,Implant site oedema,33,Implant site swelling,56,A
106,400057,Application site disorders,1,Implant site reactions,2,Implant site pain,34,Implant site pain,57,A
107,400058,Application site disorders,1,Implant site reactions,2,Implant site pruritus,35,Implant site irritation,58,A
108,400059,Application site disorders,1,Implant site reactions,2,Implant site pruritus,35,Implant site itching,59,A
109,400061,Application site disorders,1,Implant site reactions,2,Implant site pruritus,35,Implant site pruritus,61,A
110,400060,Application site disorders,1,Implant site reactions,2,Implant site pruritus,35,Implant site scratching,60,A
111,400062,Application site disorders,1,Implant site reactions,2,Implant site pyoderma,36,Implant site pustule,62,A
112,400063,Application site disorders,1,Implant site reactions,2,Implant site pyoderma,36,Implant site pyoderma,63,A
113,400064,Application site disorders,1,Implant site reactions,2,Implant site reaction NOS,37,Implant site reaction NOS,64,A
114,400066,Application site disorders,1,Implant site reactions,2,Implant site self trauma,39,Implant site self trauma,66,A
115,400068,Application site disorders,1,Implant site reactions,2,Implant site serosanguinous discharge,40,Implant site serosanguinous discharge,68,A
116,400067,Application site disorders,1,Implant site reactions,2,Implant site serosanguinous discharge,40,Implant site weeping (see also Skin),67,A
117,400069,Application site disorders,1,Implant site reactions,2,Implant site serous discharge,41,Implant site serous discharge,69,A
118,400070,Application site disorders,1,Implant site reactions,2,Implant site ulcer,42,Implant site ulcer,70,A
119,400071,Application site disorders,1,Implant site reactions,2,Movement of implant,43,Movement of implant,71,A
120,400075,Application site disorders,1,Injection site reactions,3,Injection site blister,46,Injection site blister,75,C
121,401540,Application site disorders,1,Injection site reactions,3,Injection site complication,782,Injection site complication NOS,1540,C
122,401543,Application site disorders,1,Injection site reactions,3,Injection site complication,782,Injection site joint reaction,1543,C
123,401545,Application site disorders,1,Injection site reactions,3,Injection site complication,782,Injection site nerve damage,1545,C
124,402834,Application site disorders,1,Injection site reactions,3,Injection site complication,782,Injection site tenosynovitis,2834,C
125,504338,Application site disorders,1,Injection site reactions,3,Injection site cyst,3055,Injection site cyst,3057,C
126,504337,Application site disorders,1,Injection site reactions,3,Injection site discharge NOS,3054,Injection site discharge NOS,3056,C
127,400077,Application site disorders,1,Injection site reactions,3,Injection site erythema,47,Injection site erythema,77,C
128,401552,Application site disorders,1,Injection site reactions,3,Injection site erythema,47,Injection site reddening,1552,C
129,400076,Application site disorders,1,Injection site reactions,3,Injection site erythema,47,Injection site rubra,76,C
130,402606,Application site disorders,1,Injection site reactions,3,Injection site feather change,1017,Injection site feather change,2606,A
131,402607,Application site disorders,1,Injection site reactions,3,Injection site feather change,1017,Injection site feather loss,2607,A
132,402008,Application site disorders,1,Injection site reactions,3,Injection site fibrosis,920,Injection site fibrosis,2008,C
133,400078,Application site disorders,1,Injection site reactions,3,Injection site granuloma,48,Injection site granuloma,78,C
134,400083,Application site disorders,1,Injection site reactions,3,Injection site haemorrhage,50,Injection site bleeding,83,C
135,400079,Application site disorders,1,Injection site reactions,3,Injection site haemorrhage,50,Injection site bruising,79,C
136,400080,Application site disorders,1,Injection site reactions,3,Injection site haemorrhage,50,Injection site haematoma,80,C
137,400082,Application site disorders,1,Injection site reactions,3,Injection site haemorrhage,50,Injection site haemorrhage,82,C
138,400081,Application site disorders,1,Injection site reactions,3,Injection site haemorrhage,50,Injection site petechiae,81,C
139,400073,Application site disorders,1,Injection site reactions,3,Injection site hair change,45,Injection site alopecia,73,C
140,402149,Application site disorders,1,Injection site reactions,3,Injection site hair change,45,Injection site hair change,2149,C
141,400074,Application site disorders,1,Injection site reactions,3,Injection site hair change,45,Injection site hair loss,74,C
142,402150,Application site disorders,1,Injection site reactions,3,Injection site hair change,45,Injection site leukotrichia,2150,C
143,400072,Application site disorders,1,Injection site reactions,3,Injection site infection,44,Injection site abscess,72,C
144,401542,Application site disorders,1,Injection site reactions,3,Injection site infection,44,Injection site infection,1542,C
145,402835,Application site disorders,1,Injection site reactions,3,Injection site infection,44,Injection site phlegmon,2835,C
146,401938,Application site disorders,1,Injection site reactions,3,Injection site inflammation,51,Injection site dermatitis,1938,C
147,400084,Application site disorders,1,Injection site reactions,3,Injection site inflammation,51,Injection site inflammation,84,C
148,401556,Application site disorders,1,Injection site reactions,3,Injection site inflammation,51,Injection site warmth,1556,C
149,400087,Application site disorders,1,Injection site reactions,3,Injection site lesion,52,Injection site crust,87,C
150,400086,Application site disorders,1,Injection site reactions,3,Injection site lesion,52,Injection site lesion,86,C
151,400085,Application site disorders,1,Injection site reactions,3,Injection site lesion,52,Injection site scab,85,C
152,400092,Application site disorders,1,Injection site reactions,3,Injection site mass NOS,1154,Injection site lump,92,C
153,402113,Application site disorders,1,Injection site reactions,3,Injection site mass NOS,1154,Injection site mass NOS,2113,C
154,402605,Application site disorders,1,Injection site reactions,3,Injection site mass NOS,1154,Injection site nodule,2605,C
155,400088,Application site disorders,1,Injection site reactions,3,Injection site mucopurulent discharge,53,Injection site mucopurulent discharge,88,C
156,402093,Application site disorders,1,Injection site reactions,3,Injection site necrosis,54,Injection site gangrene,2093,C
157,402094,Application site disorders,1,Injection site reactions,3,Injection site necrosis,54,Injection site gaseous gangrene,2094,C
158,400089,Application site disorders,1,Injection site reactions,3,Injection site necrosis,54,Injection site necrosis,89,C
159,401879,Application site disorders,1,Injection site reactions,3,Injection site neoplasm NOS,875,Injection site neoplasm NOS,1879,C
160,401546,Application site disorders,1,Injection site reactions,3,Injection site numbness,784,Injection site numbness,1546,C
161,400090,Application site disorders,1,Injection site reactions,3,Injection site oedema,55,Injection site oedema,90,C
162,400091,Application site disorders,1,Injection site reactions,3,Injection site oedema,55,Injection site swelling,91,C
163,402410,Application site disorders,1,Injection site reactions,3,Injection site pain,56,Immediate pain upon injection,2410,C
164,400093,Application site disorders,1,Injection site reactions,3,Injection site pain,56,Injection site pain,93,C
165,402751,Application site disorders,1,Injection site reactions,3,Injection site pain,56,Injection site tenderness,2751,C
166,401053,Application site disorders,1,Injection site reactions,3,Injection site panniculitis,623,Injection site panniculitis,1053,C
167,401548,Application site disorders,1,Injection site reactions,3,Injection site paraesthesia,785,Injection site paraesthesia,1548,C
169,400094,Application site disorders,1,Injection site reactions,3,Injection site pruritus,57,Injection site irritation,94,C
170,400095,Application site disorders,1,Injection site reactions,3,Injection site pruritus,57,Injection site itching,95,C
171,400097,Application site disorders,1,Injection site reactions,3,Injection site pruritus,57,Injection site pruritus,97,C
172,400096,Application site disorders,1,Injection site reactions,3,Injection site pruritus,57,Injection site scratching,96,C
173,400098,Application site disorders,1,Injection site reactions,3,Injection site pyoderma,58,Injection site pustules,98,C
174,400099,Application site disorders,1,Injection site reactions,3,Injection site pyoderma,58,Injection site pyoderma,99,C
175,402836,Application site disorders,1,Injection site reactions,3,Injection site reaction NOS,59,Injection site induration,2836,C
176,400100,Application site disorders,1,Injection site reactions,3,Injection site reaction NOS,59,Injection site reaction NOS,100,C
177,402153,Application site disorders,1,Injection site reactions,3,Injection site reaction NOS,59,Injection site vaccine leakage,2153,C
178,402752,Application site disorders,1,Injection site reactions,3,Injection site reaction NOS,59,Licking at injection site,2752,A
179,401413,Application site disorders,1,Injection site reactions,3,Injection site related amputation,2895,Digit amputation,1413,C
180,402896,Application site disorders,1,Injection site reactions,3,Injection site related amputation,2895,Limb amputation,2896,C
181,402897,Application site disorders,1,Injection site reactions,3,Injection site related amputation,2895,Tail amputation,2897,A
182,504333,Application site disorders,1,Injection site reactions,3,Injection site self trauma,61,Biting at injection site,3052,A
183,504334,Application site disorders,1,Injection site reactions,3,Injection site self trauma,61,Chewing at injection site,3053,A
184,400102,Application site disorders,1,Injection site reactions,3,Injection site self trauma,61,Injection site self trauma,102,C
185,401880,Application site disorders,1,Injection site reactions,3,Injection site seroma,876,Injection site seroma,1880,C
186,400104,Application site disorders,1,Injection site reactions,3,Injection site serosanguinous discharge,62,Injection site serosanguinous discharge,104,C
187,400103,Application site disorders,1,Injection site reactions,3,Injection site serosanguinous discharge,62,Injection site weeping (see also Skin),103,C
188,400105,Application site disorders,1,Injection site reactions,3,Injection site serous discharge,63,Injection site serous discharge,105,C
189,402205,Application site disorders,1,Injection site reactions,3,Injection site skin change,965,Injection site skin change NOS,2205,C
190,402202,Application site disorders,1,Injection site reactions,3,Injection site skin change,965,Injection site skin discolouration,2202,C
191,402203,Application site disorders,1,Injection site reactions,3,Injection site skin change,965,Injection site skin scaling,2203,C
192,402204,Application site disorders,1,Injection site reactions,3,Injection site skin change,965,Injection site skin squamosis,2204,C
193,402898,Application site disorders,1,Injection site reactions,3,Injection site skin change,965,Injection site thickening,2898,C
194,401553,Application site disorders,1,Injection site reactions,3,Injection site stiffness,786,Injection site stiffness,1553,C
195,400106,Application site disorders,1,Injection site reactions,3,Injection site ulcer,64,Injection site ulcer,106,C
196,504341,Behavioural disorders,2,Bird behavioural disorders,3058,Pecking,3059,Pecking,3060,A
197,400107,Behavioural disorders,2,Fish behavioural disorders,4,Abnormal swimming in fish,65,Abnormal swimming in fish,107,A
198,400108,Behavioural disorders,2,Fish behavioural disorders,4,Leaping behaviour in fish,66,Leaping behaviour in fish,108,A
199,400109,Behavioural disorders,2,Miscellaneous eating disorders NOS,5,Miscellaneous eating disorder NOS,67,Miscellaneous eating disorder NOS,109,A
200,400113,Behavioural disorders,2,Other behavioural disorders,6,Aggression,69,Aggression,113,A
201,400112,Behavioural disorders,2,Other behavioural disorders,6,Aggression,69,Biting -aggression (see also Skin and appendages disorders),112,A
202,401559,Behavioural disorders,2,Other behavioural disorders,6,Aggression,69,Irritability,1559,C
203,402206,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Acting tense,2206,C
204,400115,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Anxiety,115,A
205,401055,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Apprehension,1055,A
206,402609,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Attention-seeking behaviour,2609,A
207,400114,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Distress,114,A
208,504342,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Easily startled,3061,C
209,504343,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Fear/fearful,3062,C
210,504344,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Nervous,3063,C
211,402610,Behavioural disorders,2,Other behavioural disorders,6,Anxiety,70,Panic,2610,A
212,400116,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Aerophagia,3068,C
213,402388,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Behavioural disorder NOS,116,A
214,504345,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Destructive behaviour,2388,C
215,402502,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Disinterested,3064,C
216,402837,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Dummy foal syndrome,2502,A
217,402412,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Excessive defensive behaviour,2837,A
218,402413,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Head shake - behavioural disorder,2412,C
219,402207,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Head shy,2413,A
220,402411,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Hiding,2207,A
221,402753,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Less social,2411,C
222,402391,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Not himself/herself,2753,A
223,402838,Behavioural disorders,2,Other behavioural disorders,6,Behavioural disorder NOS,71,Rolling,2391,C
224,401974,Behavioural disorders,2,Other behavioural disorders,6,Grooming disorder,908,Barbering,2838,A
225,401975,Behavioural disorders,2,Other behavioural disorders,6,Grooming disorder,908,"Excessive chewing, licking and/or grooming",1974,A
226,402757,Behavioural disorders,2,Other behavioural disorders,6,Grooming disorder,908,Grooming disorder,1975,A
227,400117,Behavioural disorders,2,Other behavioural disorders,6,Grooming disorder,908,Unkempt hair coat,2757,A
228,400121,Behavioural disorders,2,Other behavioural disorders,6,Hallucination,72,Hallucination,117,A
229,402611,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Agitation,121,A
230,400120,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Circling - behavioural disorder (see also Neurological disorders),2611,C
231,400118,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Excitation,120,A
232,400122,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Hyperactivity,118,A
233,402208,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Hyperexcitation,122,A
234,400119,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Pacing,2208,C
235,402673,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Restlessness,119,A
236,400123,Behavioural disorders,2,Other behavioural disorders,6,Hyperactivity,73,Unsettled,2673,C
237,402674,Behavioural disorders,2,Other behavioural disorders,6,Inappropriate defecation,74,Inappropriate defecation,123,A
238,400124,Behavioural disorders,2,Other behavioural disorders,6,Inappropriate elimination NOS,1109,Inappropriate elimination NOS,2674,C
239,402520,Behavioural disorders,2,Other behavioural disorders,6,Inappropriate urination,75,Inappropriate urination,124,A
240,402417,Behavioural disorders,2,Other behavioural disorders,6,Inappropriate urination,75,Not urinating,2520,C
241,402416,Behavioural disorders,2,Other behavioural disorders,6,Mothering disorder,984,Maternal aggression to offspring,2417,A
242,402414,Behavioural disorders,2,Other behavioural disorders,6,Mothering disorder,984,Maternal neglect of offspring,2416,A
243,402415,Behavioural disorders,2,Other behavioural disorders,6,Mothering disorder,984,Mothering disorder,2414,A
244,401222,Behavioural disorders,2,Other behavioural disorders,6,Mothering disorder,984,Poor mothering behaviour,2415,A
245,400128,Behavioural disorders,2,Other behavioural disorders,6,Self mutilation,667,Self mutilation,1222,A
246,400132,Behavioural disorders,2,Other behavioural disorders,6,Teeth grinding,77,Teeth grinding,128,A
247,400130,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Barking,132,A
248,402393,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Crying,130,C
249,402755,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Groaning,2393,C
250,402754,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Growling,2755,A
251,401935,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Hissing,2754,A
252,400131,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Impaired vocalisation,1935,A
253,400129,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Mewing,131,A
254,402756,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Vocalisation,129,A
255,400133,Behavioural disorders,2,Other behavioural disorders,6,Vocalisation,78,Whining,2756,A
256,400134,Behavioural disorders,2,Pica,7,Coprophagia,79,Coprophagia,133,A
257,402061,Behavioural disorders,2,Pica,7,Pica NOS,80,Pica NOS,134,A
258,402067,Behavioural disorders,2,Sexual disorders NOS,8,Sexual disorder NOS,82,Attractiveness to males,2061,A
259,402029,Behavioural disorders,2,Sexual disorders NOS,8,Sexual disorder NOS,82,Increased sexual interest,2067,C
260,400138,Behavioural disorders,2,Sexual disorders NOS,8,Sexual disorder NOS,82,Reduced sexual interest (see Reproductive for named sexual disorders),2029,A
261,400140,Behavioural disorders,2,Sexual disorders NOS,8,Sexual disorder NOS,82,Sexual disorder NOS (see Reproductive for named sexual disorders),138,A
262,400141,Behavioural disorders,2,Sleep disturbance,9,Sleep disturbance NOS,83,Not sleeping,140,A
263,402505,Behavioural disorders,2,Sleep disturbance,9,Sleep disturbance NOS,83,Sleep disturbance NOS,141,A
264,400148,Behavioural disorders,2,Sleep disturbance,9,Sleep disturbance NOS,83,Vocalizing while sleeping,2505,A
265,401213,Blood and lymphatic system disorders,3,Blood and lymphatic system disorders NOS,11,Blood and lymphatic system disorder NOS,88,Blood and lymphatic system disorder NOS,148,C
266,402087,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Mucosa petechiae,1213,C
267,402115,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Organ petechiae,2087,C
268,400178,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Petechiae NOS,2115,C
269,400151,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Profuse bleeding,178,C
270,401205,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Prolonged bleeding NOS,151,C
271,400153,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Other coagulation abnormality,90,Skin petechiae,1205,C
272,400155,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Thrombosis,91,Blood clot,153,C
273,400156,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Thrombosis,91,Thromboemboli,155,C
274,400157,Blood and lymphatic system disorders,3,Coagulation abnormalities,13,Thrombosis,91,Thrombosis,156,C
275,400158,Blood and lymphatic system disorders,3,Congenital haematological disorders,14,Congenital coagulopathy NOS,92,Congenital coagulopathy NOS,157,C
276,400159,Blood and lymphatic system disorders,3,Congenital haematological disorders,14,Congenital haematological disorder NOS,93,Congenital haematological disorder NOS,158,C
277,401936,Blood and lymphatic system disorders,3,Congenital haematological disorders,14,Haemophilia,94,Haemophilia,159,C
278,402060,Blood and lymphatic system disorders,3,Congenital haematological disorders,14,von Willebrands disease,899,von Willebrands disease,1936,C
279,402344,Blood and lymphatic system disorders,3,Lymph node disorders,18,Lymph node abscess,932,Lymph node abscess,2060,C
280,402405,Blood and lymphatic system disorders,3,Lymph node disorders,18,Lymphadenopathy,108,Caseous lymphadenitis (tuberculosis),2344,C
281,402426,Blood and lymphatic system disorders,3,Lymph node disorders,18,Lymphadenopathy,108,Enlarged lymph node (localised),2405,C
